lon,lat,date
-78.8988889,35.9938889,2/26/2000
-102.85,38.1375,2/26/2000
-85.8344444,41.5822222,2/26/2000
-87.65,41.85,2/27/2000
-86.5263889,39.1652778,2/27/2000
-122.675,45.5236111,2/27/2000
-75.9783333,36.8527778,2/28/2000
-81.625,26.625,2/28/2000
-118.0055556,36.2819444,2/28/2000
-88.5994444,42.5311111,2/28/2000
-71.6422222,41.3830556,2/28/2000
-122.9080556,47.0075,2/29/2000
-121.8047222,38.005,2/29/2000
-118.6236111,38.5247222,3/1/2000
-81.5372222,37.5830556,3/1/2000
-73.0019444,40.8686111,3/1/2000
-110.9258333,32.2216667,3/1/2000
-117.9527778,33.7091667,3/1/2000
-103.2072222,40.6255556,3/1/2000
-82.4544444,27.0994444,3/1/2000
-95.3630556,29.7630556,3/1/2000
-92.6441667,41.2963889,3/1/2000
-90.0488889,35.1494444,3/2/2000
-93.2980556,37.2152778,3/2/2000
-74.1722222,40.9166667,3/2/2000
-74.0222222,41.0588889,3/2/2000
-83.0930556,39.8813889,3/3/2000
-81.3386111,28.7027778,3/3/2000
-93.88,42.0597222,3/3/2000
-112.315,34.61,3/3/2000
-111.9730556,41.2230556,3/3/2000
-80.1938889,25.7738889,3/5/2000
-89.0938889,42.2711111,3/5/2000
-91.4097222,39.9355556,3/5/2000
-87.8211111,42.5847222,3/5/2000
-111.8902778,40.7608333,3/6/2000
-124.155,46.9738889,3/6/2000
-117.8222222,33.6694444,3/6/2000
-77.0263889,38.9905556,3/6/2000
-94.5144444,35.4211111,3/6/2000
-92.9930556,45.16,3/6/2000
-94.3486111,38.6533333,3/7/2000
-77.2016667,39.1433333,3/7/2000
-94.5783333,39.0997222,3/7/2000
-76.5455556,39.0702778,3/7/2000
-119.7713889,36.7477778,3/7/2000
-87.1638889,30.3569444,3/7/2000
-112.1008333,40.7091667,3/8/2000
-94.3983333,35.3858333,3/9/2000
-117.2502778,33.3763889,3/9/2000
-70.2558333,43.6613889,3/9/2000
-77.9191667,37.5419444,3/9/2000
-81.8725,26.6402778,3/9/2000
-69.6780556,44.4591667,3/9/2000
-93.0942,37.6459,3/9/2000
-93.7377778,36.4011111,3/9/2000
-92.4419444,35.0886111,3/9/2000
-95.3630556,29.7630556,3/9/2000
-92.3169444,35.8708333,3/9/2000
-92.3169444,35.8708333,3/9/2000
-77.4608333,38.3030556,3/9/2000
-89.8294444,34.9616667,3/9/2000
-86.5186111,35.9827778,3/9/2000
-92.2894444,34.7463889,3/9/2000
-94.7872222,35.4602778,3/9/2000
-76.8080556,42.0897222,3/9/2000
-89.6436111,39.8016667,3/9/2000
-92.385,36.3352778,3/9/2000
-119.5525,47.3177778,3/10/2000
-110.81,39.5994444,3/10/2000
-69.2983333,44.5302778,3/10/2000
-89.0938889,42.2711111,3/10/2000
-89.0938889,42.2711111,3/10/2000
-78.4341667,40.4233333,3/10/2000
-88.0430556,30.6941667,3/11/2000
-95.3630556,29.7630556,3/11/2000
-121.28,38.7072222,3/11/2000
-121.2711111,38.6447222,3/11/2000
-121.2247222,38.6786111,3/11/2000
-121.6958333,47.8569444,3/11/2000
-119.6972222,34.4208333,3/11/2000
-93.1141667,35.4013889,3/11/2000
-115.1363889,36.175,3/11/2000
-80.2708333,26.2708333,3/12/2000
-82.1402778,29.1869444,3/12/2000
-118.7805556,34.2694444,3/12/2000
-118.3013889,34.2669444,3/12/2000
-118.5002778,34.1591667,3/12/2000
-122.3308333,47.6063889,3/12/2000
-87.3952778,46.5436111,3/12/2000
-79.1986111,42.1186111,3/12/2000
-117.0855556,33.1191667,3/12/2000
-81.6558333,30.3319444,3/13/2000
-122.3308333,47.6063889,3/13/2000
-118.3397222,33.8358333,3/13/2000
-122.8680556,38.6105556,3/13/2000
-121.8938889,37.3394444,3/13/2000
-79.9311111,32.7763889,3/13/2000
-95.0380556,40.7419444,3/13/2000
-122.0136111,37.0511111,3/14/2000
-86.1580556,39.7683333,3/14/2000
-117.1122222,32.5838889,3/15/2000
-80.6722222,28.5388889,3/15/2000
-70.9833333,42.375,3/15/2000
-75.2330556,43.1008333,3/15/2000
-94.2813889,39.0169444,3/15/2000
-104.6527778,37.4027778,3/15/2000
-105.27,40.015,3/15/2000
-122.6047222,46.9422222,3/15/2000
-82.1588889,36.0155556,3/15/2000
-81.4458333,40.4897222,3/15/2000
-122.675,45.5236111,3/15/2000
-89.1936111,39.4822222,3/15/2000
-109.5491667,38.5733333,3/16/2000
-95.3630556,29.7630556,3/16/2000
-116.6727778,33.555,3/16/2000
-118.8366667,34.1705556,3/17/2000
-122.6602778,45.6388889,3/17/2000
